"runs","m.inf","m.slope","f.inf","f.slope","m_slope","m_sens","f_sens","FG","fxn","bid","lid"
26," 50000","  2.5"," 25000"," -1.250","Medium flat","High","Medium","Gag groups","Mortality and foraging","1RMBADRnJWPIkSUTDeCYCvwg657nc1xrJ","1KKDLSipgig2qGYZG6UzpeGQ9VSkzkmG4"
27," 50000","  1.0"," 25000"," -1.250","Medium steep","High","Medium","Gag groups","Mortality and foraging","1P9fHoVHGMbVptqAQgy8WnQEOTmRsP2Wq","1ESsJMIx6GJJLMwcm6Jp-bs_QEaRpApqo"
28," 50000","  0.5"," 25000"," -1.250","Steep","High","Medium","Gag groups","Mortality and foraging","1rcCQLc7uIoV3z9wMwHxCuB6-Jy5PwU4U","1PTogxvZhFuvGy6BlWP-_onCWzliZZYP5"
29," 50000"," 50.0"," 37500"," -1.875","Flat","High","Low","Gag groups","Mortality and foraging","1pP59LYTukmNI00dw8IVhnC03f6cL6Ygm","1lZ26d2GjpcXLVPszJbedJRH4-TeAdI4q"
30," 50000","  2.5"," 37500"," -1.875","Medium flat","High","Low","Gag groups","Mortality and foraging","1_3UD0dbU06p-H0vZDGKIvH8vpfI_i2Q3","1Ofzvrz7k4sxiK2HJqGzLlyuXpCPyII3M"
31," 50000","  1.0"," 37500"," -1.875","Medium steep","High","Low","Gag groups","Mortality and foraging","1FAaC-d18SSlgf9BlXjjnHnkzP3iEJKaY","1qdEpe1fgssgB_CNquPlPMGgRULX4KPhP"
32," 50000","  0.5"," 37500"," -1.875","Steep","High","Low","Gag groups","Mortality and foraging","13AzFVFfaggrGXOY5bnkAiz1SdyUtN-Aq","1F2bIWmbsAlufoNEXwyLObcwlLiZiYYpV"
33,"400000","400.0","100000"," -5.000","Flat","Low","High","Gag groups","Mortality and foraging","1ptB9AWvtkHXqcKhEN5oLQo6Hw26frdhZ","1VJZru-Kifk9ey1jbOhl52d0DehhU_vfW"
34,"400000"," 20.0","100000"," -5.000","Medium flat","Low","High","Gag groups","Mortality and foraging","1Ee2_5xw0dx3sEO78nk5aMiDqqB5LKdQB","10osAy3YysuGsvH8o3IGKJR5cUtWoOIQ_"
35,"400000","  8.0","100000"," -5.000","Medium steep","Low","High","Gag groups","Mortality and foraging","13cMRPo7ihppps4N3gBXFBwymBAWaAQ2i","14FRnpAYHbxYUScguObqxtGyGkYdruVfr"
36,"400000","  4.0","100000"," -5.000","Steep","Low","High","Gag groups","Mortality and foraging","1bOABUAQyFaJmJWVVn6igEHUeoWa8FXoj","1lcAxiWEm-EtzmElwAIhw1G3FZp1ePuoU"
37,"400000","400.0","200000","-10.000","Flat","Low","Medium","Gag groups","Mortality and foraging","10_DLu6tFvA9tjDby7HXSF6kxTIMykEOm","1-I8f88MjV2OV0sR6vlJTjcJI4tieIOqt"
38,"400000"," 20.0","200000","-10.000","Medium flat","Low","Medium","Gag groups","Mortality and foraging","10WHMvYyZKOyNrsOMJ6oJI4_CRsjDJFwG","1mprxeKqwx_WAVApWWhwXzOb_bW7L_wHu"
